,file,label,x0,y0,x1,y1,x_norm0,y_norm0,x_norm1,y_norm1
63,data\jaffe\KM.SA5.13.tiff,6,66,57,196,233,0.2602103,0.22576103,0.76614976,0.9104866
64,data\jaffe\KM.SU1.14.tiff,7,66,63,192,251,0.2587824,0.24693495,0.75153005,0.98370284
65,data\jaffe\KM.SU2.15.tiff,7,66,62,192,253,0.25920978,0.24317563,0.75343645,0.9898318
66,data\jaffe\KM.SU3.16.tiff,7,66,65,191,253,0.25880668,0.25650054,0.74744296,0.99075896
67,data\jaffe\KR.AN1.83.tiff,1,64,59,191,239,0.25137588,0.2330608,0.7473674,0.93692017
68,data\jaffe\KR.AN2.84.tiff,1,65,60,191,239,0.2553035,0.23654091,0.74948955,0.9360657
69,data\jaffe\KR.AN3.85.tiff,1,66,58,193,237,0.26103425,0.22939342,0.7544935,0.9289833
70,data\jaffe\KR.DI1.86.tiff,3,66,57,192,242,0.25913876,0.22583038,0.752544,0.9478095
71,data\jaffe\KR.DI2.87.tiff,3,65,58,192,241,0.25531006,0.22768342,0.7523798,0.9445318
72,data\jaffe\KR.DI3.88.tiff,3,65,58,193,241,0.25615278,0.22687683,0.7549052,0.9425776
73,data\jaffe\KR.FE1.89.tiff,4,66,60,190,243,0.25816673,0.23710674,0.7437336,0.95095056
74,data\jaffe\KR.FE2.90.tiff,4,66,60,189,242,0.2602015,0.23611099,0.7416087,0.9476153
75,data\jaffe\KR.FE3.91.tiff,4,64,57,193,248,0.25199047,0.22614732,0.75514567,0.97083735
76,data\jaffe\KR.HA1.74.tiff,5,68,60,191,234,0.26630908,0.23561665,0.7465674,0.9168544
77,data\jaffe\KR.HA2.75.tiff,5,66,61,190,240,0.26089358,0.23910174,0.7452781,0.93810046
78,data\jaffe\KR.NE1.71.tiff,0,66,61,192,237,0.2602021,0.23866153,0.751,0.9272957
79,data\jaffe\KR.NE2.72.tiff,0,67,60,193,237,0.26270962,0.2369586,0.75599563,0.9289402
80,data\jaffe\KR.NE3.73.tiff,0,67,58,193,238,0.26202023,0.23033786,0.7539202,0.93145084
81,data\jaffe\KR.SA1.77.tiff,6,65,57,191,239,0.25730687,0.22297004,0.74980265,0.9370158
82,data\jaffe\KR.SA2.78.tiff,6,68,58,194,238,0.2675526,0.22783464,0.75801027,0.93263215
83,data\jaffe\KR.SA3.79.tiff,6,68,60,191,235,0.2680431,0.2362746,0.74743325,0.91864204
84,data\jaffe\KR.SU1.80.tiff,7,67,59,191,242,0.26472437,0.23055619,0.74658597,0.946654
85,data\jaffe\KR.SU2.81.tiff,7,69,60,192,242,0.26990595,0.23553926,0.7500144,0.94911057
86,data\jaffe\KR.SU3.82.tiff,7,67,59,192,244,0.2651116,0.23381683,0.7504928,0.9568516
87,data\jaffe\MK.AN1.125.tiff,1,66,55,191,228,0.26056027,0.21840191,0.74779785,0.89269996
88,data\jaffe\MK.AN2.126.tiff,1,66,54,190,225,0.25850958,0.21247682,0.745025,0.87931347
89,data\jaffe\MK.AN3.127.tiff,1,65,53,191,228,0.25497064,0.20980719,0.74765813,0.8924551
90,data\jaffe\MK.DI1.128.tiff,3,58,53,188,236,0.22820762,0.20980611,0.73715436,0.9226403
91,data\jaffe\MK.DI2.129.tiff,3,55,51,187,238,0.21626303,0.2025592,0.73276997,0.93151855
92,data\jaffe\MK.DI3.130.tiff,3,54,52,185,237,0.21268854,0.2047658,0.7229595,0.92771375
93,data\jaffe\MK.FE1.131.tiff,4,69,57,190,234,0.27332228,0.22412887,0.744376,0.9177289
94,data\jaffe\MK.FE2.132.tiff,4,70,56,192,236,0.2754108,0.22134352,0.7502526,0.92366767
95,data\jaffe\MK.FE3.133.tiff,4,71,53,200,237,0.28023773,0.2099863,0.7820142,0.9278959
96,data\jaffe\MK.HA1.116.tiff,5,67,58,191,231,0.26230285,0.22829369,0.74998546,0.9042319
97,data\jaffe\MK.HA2.117.tiff,5,67,57,190,227,0.2656173,0.22472522,0.74379236,0.8890164
98,data\jaffe\MK.HA3.118.tiff,5,63,54,195,238,0.24834594,0.21199408,0.76202786,0.9321259
99,data\jaffe\MK.NE1.113.tiff,0,63,55,193,238,0.24965486,0.21741277,0.7543924,0.93288547
100,data\jaffe\MK.NE2.114.tiff,0,63,54,192,237,0.2468802,0.2117976,0.75312686,0.92919445
101,data\jaffe\MK.NE3.115.tiff,0,66,54,192,232,0.2589904,0.21360242,0.75003326,0.9099562
102,data\jaffe\MK.SA1.119.tiff,6,65,52,193,236,0.25440255,0.20478106,0.75555503,0.9234247
103,data\jaffe\MK.SA2.120.tiff,6,66,54,191,232,0.25807685,0.21218994,0.7483409,0.9071089
104,data\jaffe\MK.SA3.121.tiff,6,65,53,191,230,0.25589806,0.2087461,0.7495267,0.90110624
105,data\jaffe\MK.SU1.122.tiff,7,63,57,195,255,0.24830619,0.22497106,0.7627679,0.99834406
106,data\jaffe\MK.SU2.123.tiff,7,64,55,192,253,0.2512697,0.21808136,0.75064576,0.98883307
107,data\jaffe\MK.SU3.124.tiff,7,62,56,191,252,0.2442691,0.21898505,0.7493651,0.9850389
108,data\jaffe\NA.AN1.211.tiff,1,73,56,193,220,0.28627813,0.22178328,0.75638485,0.86151886
109,data\jaffe\NA.AN2.212.tiff,1,70,55,193,221,0.27526164,0.21530434,0.7561047,0.86629915
110,data\jaffe\NA.AN3.213.tiff,1,71,56,192,221,0.2786197,0.22133747,0.7526236,0.8658843
111,data\jaffe\NA.DI1.214.tiff,3,72,56,200,228,0.28158042,0.21883261,0.7822623,0.89228487
112,data\jaffe\NA.DI2.215.tiff,3,63,57,190,230,0.2490694,0.22559941,0.74520576,0.9017049
113,data\jaffe\NA.DI3.216.tiff,3,66,56,191,229,0.26026633,0.22158334,0.74611473,0.89516985
114,data\jaffe\NA.FE1.217.tiff,4,70,60,192,228,0.2766103,0.23589996,0.75112146,0.8908572
115,data\jaffe\NA.FE2.218.tiff,4,68,58,192,228,0.26798654,0.2295925,0.7518542,0.8941856
116,data\jaffe\NA.FE3.219.tiff,4,68,58,192,231,0.2685868,0.22959045,0.75347894,0.9025706
117,data\jaffe\NA.HA1.202.tiff,5,70,58,193,231,0.27529186,0.22811204,0.7560888,0.9045271
118,data\jaffe\NA.HA2.203.tiff,5,71,62,191,229,0.27763438,0.24261808,0.7495502,0.89586306
119,data\jaffe\NA.HA3.204.tiff,5,71,59,193,231,0.27781945,0.23399577,0.75516194,0.9046452
120,data\jaffe\NA.NE1.199.tiff,0,72,62,189,224,0.2830239,0.24450496,0.741285,0.87551236
121,data\jaffe\NA.NE2.200.tiff,0,72,61,189,223,0.2816875,0.23847461,0.7393074,0.8745214
122,data\jaffe\NA.NE3.201.tiff,0,70,59,190,227,0.27457792,0.23418388,0.74568886,0.8873106
123,data\jaffe\NA.SA1.205.tiff,6,70,55,195,228,0.2751491,0.21775377,0.7646054,0.89449
124,data\jaffe\NA.SA2.206.tiff,6,71,59,192,225,0.2795943,0.2328721,0.7515764,0.8801873
125,data\jaffe\NA.SA3.207.tiff,6,70,58,194,229,0.2746422,0.22895974,0.7590724,0.8973997
126,data\jaffe\NA.SU1.208.tiff,7,67,57,192,233,0.26453602,0.22276613,0.75221753,0.91261125
127,data\jaffe\NA.SU2.209.tiff,7,68,57,193,236,0.2666256,0.2251364,0.7562783,0.92334974
128,data\jaffe\NA.SU3.210.tiff,7,69,58,195,232,0.2708082,0.22878337,0.7637235,0.90840614
129,data\jaffe\NM.AN1.104.tiff,1,61,54,192,244,0.23913643,0.21293005,0.7536981,0.9531436
130,data\jaffe\NM.AN2.105.tiff,1,63,54,196,244,0.24997127,0.21438953,0.7663754,0.9541632
131,data\jaffe\NM.AN3.106.tiff,1,62,53,195,242,0.24494377,0.21052483,0.7626096,0.9473599
132,data\jaffe\NM.DI1.107.tiff,3,49,51,191,245,0.19284397,0.20093957,0.74643296,0.96032083
133,data\jaffe\NM.DI3.109.tiff,3,43,49,185,245,0.16829911,0.19508922,0.7242724,0.9582852
134,data\jaffe\NM.FE1.110.tiff,4,64,60,195,247,0.2522038,0.23530367,0.7654605,0.968724
135,data\jaffe\NM.FE2.111.tiff,4,61,57,198,249,0.2384251,0.2263751,0.77521217,0.9762689
136,data\jaffe\NM.FE3.112.tiff,4,63,62,192,247,0.24726456,0.24429166,0.752721,0.9665756
137,data\jaffe\NM.HA1.95.tiff,5,63,57,198,247,0.24834585,0.22608054,0.77392113,0.96673536
138,data\jaffe\NM.HA2.96.tiff,5,63,59,195,245,0.24769881,0.23255432,0.7642565,0.95711637
139,data\jaffe\NM.HA3.97.tiff,5,68,59,197,244,0.2657816,0.23433986,0.77095306,0.95655584
140,data\jaffe\NM.NE1.92.tiff,0,67,60,195,247,0.26209506,0.23437867,0.7625905,0.9655031
141,data\jaffe\NM.NE2.93.tiff,0,66,56,195,247,0.26169422,0.22243056,0.7645612,0.9652598
142,data\jaffe\NM.NE3.94.tiff,0,66,57,195,247,0.25814295,0.22372285,0.7652155,0.9651177
143,data\jaffe\NM.SA1.98.tiff,6,63,58,193,247,0.24863374,0.22926307,0.75447285,0.96504056
144,data\jaffe\NM.SA2.99.tiff,6,63,59,194,247,0.24946624,0.23251969,0.7610596,0.9664487
145,data\jaffe\NM.SA3.100.tiff,6,64,57,198,248,0.25247344,0.22534171,0.77620935,0.97099185
146,data\jaffe\NM.SU1.101.tiff,7,65,63,191,250,0.2556138,0.24977282,0.74838233,0.980023
147,data\jaffe\NM.SU2.102.tiff,7,64,63,191,251,0.25333667,0.24864337,0.74623615,0.9816437
148,data\jaffe\NM.SU3.103.tiff,7,67,61,192,251,0.2618044,0.2391034,0.7508604,0.98269475
149,data\jaffe\TM.AN1.190.tiff,1,67,51,194,228,0.26486534,0.20255291,0.75891024,0.8945234
150,data\jaffe\TM.AN2.191.tiff,1,67,50,194,228,0.26431847,0.19562912,0.75799274,0.89204955
151,data\jaffe\TM.AN3.192.tiff,1,69,52,193,227,0.27273017,0.20403084,0.7572282,0.88685167
152,data\jaffe\TM.DI1.193.tiff,3,73,53,202,229,0.28849113,0.20970082,0.7904537,0.89625657
153,data\jaffe\TM.DI2.194.tiff,3,69,53,196,233,0.27083504,0.21036676,0.7689589,0.9128809
154,data\jaffe\TM.DI3.195.tiff,3,70,52,197,231,0.2747773,0.20624599,0.7712866,0.90567327
155,data\jaffe\TM.FE1.196.tiff,4,64,56,187,234,0.25044677,0.22069281,0.73126614,0.91766685
156,data\jaffe\TM.FE2.197.tiff,4,63,55,187,236,0.24853143,0.2169162,0.7334888,0.92314076
157,data\jaffe\TM.FE3.198.tiff,4,65,58,186,231,0.25637978,0.22799116,0.7279063,0.90556043
158,data\jaffe\TM.HA1.180.tiff,5,66,56,190,229,0.2598527,0.22069532,0.7439546,0.8946237
159,data\jaffe\TM.HA2.181.tiff,5,66,54,193,233,0.2602383,0.21217802,0.75425065,0.911793
160,data\jaffe\TM.HA3.182.tiff,5,68,56,191,227,0.26594636,0.22205728,0.7468556,0.8871439
161,data\jaffe\TM.NE1.177.tiff,0,67,55,192,229,0.2627118,0.21818587,0.7521559,0.8972745
162,data\jaffe\TM.NE2.178.tiff,0,67,56,192,229,0.26549104,0.21921992,0.7510518,0.89568114
163,data\jaffe\TM.NE3.179.tiff,0,66,56,191,229,0.26124802,0.21954703,0.7476325,0.89592576
164,data\jaffe\TM.SA1.184.tiff,6,67,57,191,231,0.2632249,0.22280547,0.747958,0.9033737
165,data\jaffe\TM.SA2.185.tiff,6,69,57,191,228,0.2698264,0.22547016,0.74748886,0.8916912
166,data\jaffe\TM.SA3.186.tiff,6,69,56,192,228,0.26980442,0.2216773,0.75057346,0.8921963
167,data\jaffe\TM.SU1.187.tiff,7,71,59,193,233,0.27964318,0.23105317,0.7546332,0.9108817
168,data\jaffe\TM.SU2.188.tiff,7,72,58,192,231,0.28319472,0.2302559,0.75353557,0.9038909
169,data\jaffe\TM.SU3.189.tiff,7,71,58,196,235,0.2802183,0.22805122,0.7656637,0.91851115
170,data\jaffe\UY.AN1.146.tiff,1,62,52,189,226,0.24476713,0.20375782,0.74076736,0.88648254
171,data\jaffe\UY.AN2.147.tiff,1,60,53,189,227,0.23788923,0.2090671,0.738397,0.8883053
172,data\jaffe\UY.AN3.148.tiff,1,62,52,189,227,0.244197,0.20427498,0.74189186,0.88912535
173,data\jaffe\UY.DI1.149.tiff,3,62,52,188,229,0.24292274,0.20467597,0.737308,0.89678985
174,data\jaffe\UY.DI2.150.tiff,3,58,51,188,229,0.22775069,0.20073232,0.7374066,0.89713097
175,data\jaffe\UY.DI3.151.tiff,3,57,52,187,227,0.22460845,0.20355561,0.7317723,0.8871938
176,data\jaffe\UY.FE1.152.tiff,4,56,50,189,233,0.22011772,0.19573262,0.74060714,0.9124814
177,data\jaffe\UY.FE2.153.tiff,4,57,52,186,231,0.22506088,0.20386398,0.7297248,0.9029038
178,data\jaffe\UY.FE3.154.tiff,4,59,53,187,231,0.23401995,0.20797929,0.73367774,0.90407884
179,data\jaffe\UY.HA1.137.tiff,5,60,53,189,231,0.23498368,0.20704943,0.73987275,0.90570873
180,data\jaffe\UY.HA2.138.tiff,5,61,52,189,231,0.2387844,0.20687976,0.7409065,0.90456593
181,data\jaffe\UY.HA3.139.tiff,5,63,53,190,227,0.2479633,0.21056595,0.7436234,0.890303
182,data\jaffe\UY.NE1.134.tiff,0,64,54,188,230,0.25151402,0.21463752,0.7382812,0.9012383
183,data\jaffe\UY.NE2.135.tiff,0,62,56,189,229,0.2460727,0.21962503,0.73915607,0.89552104
184,data\jaffe\UY.NE3.136.tiff,0,59,52,188,230,0.23327357,0.2063916,0.73636883,0.89913833
185,data\jaffe\UY.SA1.140.tiff,6,59,51,193,233,0.23307166,0.19985038,0.75467193,0.9119701
186,data\jaffe\UY.SA2.141.tiff,6,61,53,191,229,0.23957083,0.20836776,0.7470809,0.8979127
187,data\jaffe\UY.SA3.142.tiff,6,62,51,192,230,0.24407351,0.20284969,0.7500153,0.90139467
188,data\jaffe\UY.SU1.143.tiff,7,63,54,190,234,0.2488384,0.21360093,0.7427138,0.915569
189,data\jaffe\UY.SU2.144.tiff,7,60,53,189,236,0.23730576,0.21037555,0.74120635,0.9244878
190,data\jaffe\UY.SU3.145.tiff,7,65,55,188,232,0.25511092,0.2159453,0.7364424,0.90649015
191,data\jaffe\YM.AN1.61.tiff,1,68,54,194,226,0.26831698,0.21190304,0.76053643,0.88379365
192,data\jaffe\YM.AN2.62.tiff,1,67,52,195,224,0.2650866,0.20590013,0.7643791,0.8765251
193,data\jaffe\YM.AN3.63.tiff,1,69,53,196,227,0.26986355,0.20804128,0.7676324,0.8871852
194,data\jaffe\YM.DI1.64.tiff,3,68,55,196,230,0.26898813,0.21535921,0.7659774,0.9005654
195,data\jaffe\YM.DI2.65.tiff,3,69,54,193,228,0.26969698,0.21376482,0.757355,0.89376664
196,data\jaffe\YM.DI3.66.tiff,3,69,55,194,229,0.27070987,0.21606505,0.7600566,0.89817667
197,data\jaffe\YM.FE1.67.tiff,4,68,56,194,231,0.2687353,0.2204392,0.760947,0.9027344
198,data\jaffe\YM.FE2.68.tiff,4,69,56,195,233,0.2696702,0.2221176,0.76424795,0.9131718
199,data\jaffe\YM.FE3.69.tiff,4,67,59,191,234,0.26427263,0.23337016,0.74807566,0.91767836
200,data\jaffe\YM.FE4.70.tiff,4,68,59,193,233,0.26735476,0.23167574,0.75390875,0.912135
201,data\jaffe\YM.HA1.52.tiff,5,69,54,194,225,0.2706395,0.21332559,0.7582867,0.8799288
202,data\jaffe\YM.HA2.53.tiff,5,66,53,194,231,0.26026118,0.21038082,0.7584088,0.90564215
203,data\jaffe\YM.HA3.54.tiff,5,68,55,194,228,0.26810297,0.21617731,0.76029253,0.8938732
204,data\jaffe\YM.NE1.49.tiff,0,66,51,196,232,0.25995645,0.19924694,0.7669301,0.909885
205,data\jaffe\YM.NE2.50.tiff,0,69,55,192,227,0.2695346,0.21644375,0.75116503,0.886829
206,data\jaffe\YM.NE3.51.tiff,0,69,53,194,228,0.2719487,0.20986849,0.7603177,0.89366716
207,data\jaffe\YM.SA1.55.tiff,6,68,54,194,231,0.2657526,0.21384662,0.75894564,0.9057482
208,data\jaffe\YM.SA2.56.tiff,6,65,54,194,232,0.2560245,0.21400368,0.7598438,0.90848863
209,data\jaffe\YM.SA3.57.tiff,6,66,55,194,234,0.26102918,0.2155779,0.7615103,0.9149756
210,data\jaffe\YM.SU1.58.tiff,7,65,53,193,248,0.25654158,0.21073115,0.7544013,0.9726032
211,data\jaffe\YM.SU2.59.tiff,7,67,55,194,238,0.26501605,0.21712834,0.760345,0.9324027
212,data\jaffe\YM.SU3.60.tiff,7,68,55,194,248,0.26705962,0.21769282,0.76094383,0.9706243
